,movie_id,Most_Similar_Movie,Coefficient
0,1,360,1.0
1,2,756,1.0000000000000002
2,3,343,1.0000000000000002
3,4,1407,1.0000000000000002
4,5,827,1.0000000000000002
5,6,688,1.0000000000000002
6,7,909,1.0000000000000002
7,8,1377,1.0000000000000002
8,9,8,1.0
9,10,492,1.0000000000000002
10,11,10,1.0000000000000002
11,12,11,1.0000000000000002
12,13,1276,1.0000000000000002
13,14,313,1.0000000000000002
14,15,14,1.0000000000000002
15,16,341,1.0000000000000002
16,17,898,1.0000000000000002
17,18,740,1.0000000000000002
18,19,532,1.0000000000000002
19,20,537,1.0000000000000002
